,Movie,Released Year,Certificate,Duration,Genre,Rating,Metascore,Votes
267, The Family Man,2019– ,TV-14,Not available,"Action, Comedy, Drama",9.3,Not available,"3,733"
268,Chad,2021– ,TV-MA,30 min,Comedy,2.7,Not available,"3,698"
269,Us Again,2021,G,7 min,"Animation, Short, Drama",8.0,Not available,"3,686"
270,The Virtuoso,2021,R,110 min,"Action, Crime, Thriller",4.9,24,"3,638"
271, The Family Man,2019– ,TV-14,Not available,"Action, Comedy, Drama",9.5,Not available,"3,637"
272, Mare of Easttown,2021,TV-MA,58 min,"Crime, Drama, Mystery",8.1,Not available,"3,631"
273,Fear of Rain,2021,PG-13,109 min,"Drama, Horror, Thriller",5.9,Not available,"3,625"
274,Pogaru,2021,160 min,160 min,Action,5.6,Not available,"3,589"
275, Lucifer,2016– ,TV-14,60 min,"Crime, Drama, Fantasy",7.6,Not available,"3,582"
276, The Family Man,2019– ,TV-14,Not available,"Action, Comedy, Drama",9.3,Not available,"3,574"
277,Sultan,2021,TV-MA,145 min,"Action, Drama",6.4,Not available,"3,564"
278,Batman: Soul of the Dragon,2021,R,83 min,"Animation, Action, Adventure",6.1,Not available,"3,561"
279, One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.7,Not available,"3,557"
280,Siyavash,2021– ,TV-14,50 min,Drama,6.2,Not available,"3,521"
281,Yasuke,2021– ,TV-MA,30 min,"Animation, Action, Adventure",6.3,Not available,"3,518"
